class,label,count,precision,recall,f1
0,Binds_To,24,0.394,0.542,0.456
1,Composes_Primary_Structure,15,0.0,0.0,0.0
2,Composes_Protein_Complex,0,0.0,0.0,0.0
3,Exists_At_Stage,8,0.0,0.0,0.0
4,Exists_In_Genotype,81,0.729,0.765,0.747
5,Has_Sequence_Identical_To,20,0.421,0.4,0.41
6,Interacts_With,32,0.365,0.594,0.452
7,Is_Functionally_Equivalent_To,39,0.375,0.308,0.338
8,Is_Involved_In_Process,20,0.0,0.0,0.0
9,Is_Linked_To,23,0.0,0.0,0.0
10,Is_Localized_In,47,0.605,0.489,0.541
11,Is_Member_Of_Family,55,0.267,0.291,0.278
12,Is_Protein_Domain_Of,29,0.429,0.207,0.279
13,Occurs_During,10,0.0,0.0,0.0
14,Occurs_In_Genotype,16,0.833,0.312,0.455
15,Regulates_Accumulation,29,0.824,0.483,0.609
16,Regulates_Development_Phase,59,0.524,0.186,0.275
17,Regulates_Expression,111,0.611,0.721,0.661
19,Regulates_Process,179,0.571,0.961,0.717
20,Regulates_Tissue_Development,9,0.0,0.0,0.0
21,Transcribes_Or_Translates_To,13,0.0,0.0,0.0
,Micro,,0.538,0.538,0.538
,Macro,,0.331,0.298,0.296
,Weighted,,0.485,0.538,0.487
,Accuracy,,0.538,,
